Name,Description,Category
** How many chapters (surahs) are in the Quran?,114,Religion Philosophy
** How many books are in the Protestant Bible?,66,Religion Philosophy
** Approximately how many saints have been canonized by the Catholic Church?,"11,000",Religion Philosophy
** Approximately how many Hindu temples are there in India?,2 million,Religion Philosophy
** In what year was Zoroaster (founder of Zoroastrianism) believed to have lived?,c. 1500-1200 BCE,Religion Philosophy
** How many Baháʼís are there worldwide?,8 million,Religion Philosophy
** How many Jains are there worldwide?,6 million,Religion Philosophy
** Approximately how many Shinto shrines are there in Japan?,"80,000",Religion Philosophy
** What is the speed of light in a vacuum in meters per second?,"299,792,458 m/s",Science Nature
** How old is the universe in billions of years?,13.8 billion years,Science Nature
** What is the average distance from Earth to the Sun in millions of kilometers?,149.6 million km,Science Nature
** What is the surface temperature of the Sun in degrees Celsius?,"5,505°C",Science Nature
** How many atoms are in an average human body (in octillions)?,7 octillion atoms (7 × 10²⁷),Science Nature
** What is Avogadro's number (in sextillions)?,602 sextillion (6.022 × 10²³),Science Nature
** How many confirmed elements are in the periodic table?,118 elements,Science Nature
** What is the pH of pure water at 25°C?,7.0,Science Nature
** What is the melting point of gold in degrees Celsius?,"1,064°C",Science Nature
** How many water molecules are in a typical drop of water (in quintillions)?,1.67 quintillion molecules (1.67 × 10²¹),Science Nature
** How many base pairs are in the human genome (in billions)?,3.2 billion base pairs,Science Nature
** How many times does the average human heart beat in a lifetime (in billions)?,2.5 billion beats,Science Nature
** How many cells are in an average human body (in trillions)?,37.2 trillion cells,Science Nature
** How many species are estimated to exist on Earth (in millions)?,8.7 million species,Science Nature
** How many neurons are in the human brain (in billions)?,86 billion neurons,Science Nature
** How old is the Earth in billions of years?,4.54 billion years,Science Nature
** What percentage of Earth's surface is covered by oceans?,71%,Science Nature
** What is the height of Mount Everest above sea level in meters?,"8,849 meters",Science Nature
** What is the temperature at Earth's inner core in degrees Celsius?,"5,700°C",Science Nature
** How many trees are in the Amazon rainforest (in billions)?,390 billion trees,Science Nature
** What is the speed of sound in dry air at 20°C in meters per second?,343 m/s,Science Nature
** How fast does Earth rotate at the equator in km/h?,"1,674 km/h",Science Nature
** What percentage of Earth's water is freshwater?,2.5%,Science Nature
** How many lightning strikes occur globally per second?,44 lightning strikes per second,Science Nature
** How many liters of blood are in an average adult human body?,4.5-5.5 liters,Science Nature
** What is the average distance from Earth to the Moon in miles?,"238,855 miles",Space Astronomy
** How old is the universe in billions of years?,13.8 billion years,Space Astronomy
** What is the surface temperature of the Sun in degrees Celsius?,"5,505°C",Space Astronomy
** How many stars are estimated to be in the Milky Way galaxy?,200-400 billion stars,Space Astronomy
** What is the diameter of Earth at the equator in miles?,"7,926 miles",Space Astronomy
** How fast does light travel in miles per second?,"186,282 miles per second",Space Astronomy
** What is the minimum distance from Earth to Mars in millions of miles?,34.8 million miles,Space Astronomy
** How many official constellations are recognized by the International Astronomical Union?,88 constellations,Space Astronomy
** What is the mass of the Sun in Earth masses?,"333,000 Earth masses",Space Astronomy
** How many Earth days does it take Pluto to orbit the Sun?,"90,560 Earth days (248 Earth years)",Space Astronomy
** What is the temperature of interstellar space in Kelvin?,2.7 Kelvin (-270.45°C),Space Astronomy
** How many confirmed moons does Jupiter have?,95 moons (as of 2023),Space Astronomy
** What is the diameter of the Sun in miles?,"865,370 miles",Space Astronomy
** What is the escape velocity from Earth's surface in miles per hour?,"25,020 mph",Space Astronomy
"** How many miles away is Proxima Centauri, the nearest star to the Sun?",24.9 trillion miles,Space Astronomy
** How old is Earth in billions of years?,4.54 billion years,Space Astronomy
** How many confirmed exoplanets have been discovered as of 2023?,"5,500+ confirmed exoplanets",Space Astronomy
** How fast does Earth orbit the Sun in miles per hour?,"67,000 mph",Space Astronomy
** What is the diameter of Jupiter in miles?,"88,846 miles",Space Astronomy
** How many galaxies are estimated to exist in the observable universe?,2 trillion galaxies,Space Astronomy
** What is the surface temperature of Venus in degrees Celsius?,462°C,Space Astronomy
** How many light-years away is the Andromeda Galaxy?,2.537 million light-years,Space Astronomy
** How many active artificial satellites are currently orbiting Earth?,"8,261 active satellites (as of 2023)",Space Astronomy
** How many Earth days does it take Venus to rotate once on its axis?,243 Earth days,Space Astronomy
** What is the estimated mass of the Milky Way galaxy in solar masses?,1.5 trillion solar masses,Space Astronomy
** What is the highest individual score in a single Test cricket innings?,400 runs,Sports Records
** How many goals did Miroslav Klose score in World Cup tournaments (all-time record)?,16 goals,Sports Records
** How many Olympic gold medals did Michael Phelps win in his career?,23 gold medals,Sports Records
"** How many games were played in the longest tennis match in history (Isner vs Mahut, Wimbledon 2010)?",183 games,Sports Records
** What is the highest single-game point total in NBA history?,100 points,Sports Records
** What is the current men's marathon world record time (in minutes)?,121 minutes (2:01:09),Sports Records
** How many major golf championships did Jack Nicklaus win in his career?,18 majors,Sports Records
** What is the men's 100m freestyle world record time (in seconds)?,46.86 seconds,Sports Records
** How many Formula 1 Grand Prix races did Lewis Hamilton win in his career?,103 wins,Sports Records
** How many professional fights did Rocky Marciano win without a loss?,49 fights,Sports Records
** How many consecutive games did Cal Ripken Jr. play in MLB?,"2,632 games",Sports Records
"** How many horses have won the American Triple Crown (Kentucky Derby, Preakness, Belmont)?",13 horses,Sports Records
** How many times did Lance Armstrong win the Tour de France before his titles were stripped?,7 times,Sports Records
** What was the final score in the longest volleyball set in Olympic history (total points)?,56 points (29-27),Sports Records
** How many international tries did Brian O'Driscoll score for Ireland?,46 tries,Sports Records
** What is the fastest recorded badminton smash speed (in km/h)?,493 km/h,Sports Records
** What was the longest table tennis rally in competitive play (number of hits)?,"14,318 hits",Sports Records
** What is the fastest speed ever recorded on skis (in km/h)?,255.7 km/h,Sports Records
** What is the longest distance for a successful archery shot (in meters)?,"2,047 meters",Sports Records
** What is the heaviest weight ever lifted in a clean and jerk (in kg)?,267 kg,Sports Records
** What is the fastest recorded cricket ball speed (in km/h)?,161.3 km/h,Sports Records
** What is the capacity of Rungrado 1st of May Stadium (world's largest stadium)?,"114,000 seats",Sports Records
** How many Grand Slam singles titles did Margaret Court win in her career?,24 titles,Sports Records
** How many perfect games have been pitched in MLB history?,23 perfect games,Sports Records
** How many countries participated in the 2020 Tokyo Olympics?,206 countries,Sports Records
In what year was the iPhone first released?,2007,Technology Innovation
How many characters could a standard tweet contain when Twitter first launched?,140 characters,Technology Innovation
In what year was Facebook founded?,2004,Technology Innovation
"How many transistors were in the Intel 4004, the first commercial microprocessor?","2,300 transistors",Technology Innovation
What was the total number of Nintendo Wii units sold worldwide?,101.63 million units,Technology Innovation
In what year was the World Wide Web invented by Tim Berners-Lee?,1989,Technology Innovation
How many megapixels was the first iPhone's camera?,2 megapixels,Technology Innovation
What was the price of the first Amazon Kindle when launched in 2007?,$399,Technology Innovation
How many active users does TikTok have worldwide (as of 2024)?,1.5 billion monthly active users,Technology Innovation
In what year was the first email sent?,1971,Technology Innovation
How many apps were available on the Apple App Store when it first launched in 2008?,500 apps,Technology Innovation
What is the total number of patents held by Thomas Edison?,"1,093 US patents",Technology Innovation
How many lines of code were in the Windows 95 operating system?,Approximately 15 million lines of code,Technology Innovation
In what year was the first commercial GPS satellite launched?,1989,Technology Innovation
How many gigabytes of storage did the first iPod offer?,5 GB,Technology Innovation
What was the total cost of the Apollo program in today's dollars?,Approximately $280 billion (adjusted for inflation),Technology Innovation
How many characters per second could the first modem (300 baud) transmit?,30 characters per second,Technology Innovation
What is the total number of internet users worldwide (as of 2024)?,5.35 billion users,Technology Innovation
How many transistors are in Apple's M3 Max chip?,92 billion transistors,Technology Innovation
In what year was the first computer virus created?,1986 (Brain virus),Technology Innovation
What is the total amount of data stored on the internet (estimated)?,Approximately 120 zettabytes,Technology Innovation
How many miles of undersea fiber optic cables connect the internet globally?,"Approximately 750,000 miles (1.2 million km)",Technology Innovation
What was the processing speed of the first supercomputer (Cray-1) in FLOPS?,160 megaflops (160 million floating-point operations per second),Technology Innovation
How many domain names were registered in the first year of the internet (1985)?,6 domain names,Technology Innovation
What is the total number of IoT (Internet of Things) devices worldwide (as of 2024)?,Approximately 18.8 billion devices,Technology Innovation
How many seconds are in one day?,"86,400 seconds",Time Measurements
How many minutes are in one week?,"10,080 minutes",Time Measurements
How many feet are in one mile?,"5,280 feet",Time Measurements
How many centimeters are in one meter?,100 centimeters,Time Measurements
How many days are in a leap year?,366 days,Time Measurements
How many ounces are in one pound?,16 ounces,Time Measurements
How many hours are in three days?,72 hours,Time Measurements
How many millimeters are in one centimeter?,10 millimeters,Time Measurements
How many seconds are in one year (365 days)?,"31,536,000 seconds",Time Measurements
How many kilometers are in one marathon?,42.195 kilometers,Time Measurements
How many minutes does it take for sunlight to reach Earth?,8 minutes and 20 seconds (approximately 500 seconds),Time Measurements
How many feet are in the height of the Statue of Liberty?,305 feet (from ground to torch),Time Measurements
How many seconds are in one hour?,"3,600 seconds",Time Measurements
How many meters are in one football field (American)?,91.44 meters (100 yards),Time Measurements
How many days does it take the Moon to orbit Earth?,27.3 days,Time Measurements
How many pounds are in one ton (US)?,"2,000 pounds",Time Measurements
How many minutes are in one day?,"1,440 minutes",Time Measurements
How many nanoseconds are in one second?,"1,000,000,000 nanoseconds (1 billion)",Time Measurements
How many seconds does it take for light to travel from the Sun to Earth?,Approximately 500 seconds (8 minutes 20 seconds),Time Measurements
How many meters are in one nautical mile?,"1,852 meters",Time Measurements
How many microseconds are in one millisecond?,"1,000 microseconds",Time Measurements
How many feet deep is the Mariana Trench at its deepest point?,"Approximately 36,070 feet (10,994 meters)",Time Measurements
How many seconds are in one century (100 years)?,"3,153,600,000 seconds (excluding leap years)",Time Measurements
How many astronomical units (AU) are in one light-year?,"Approximately 63,241 AU",Time Measurements
How many Planck times are in one second?,Approximately 1.85 × 10^43 Planck times,Time Measurements
**What is the length of the Great Wall of China?**,"13,171 miles (21,196 km)",Transportation Travel
**How many passengers does Dubai International Airport handle annually?**,87 million passengers (2023),Transportation Travel
**What is the cruising speed of a Boeing 747?**,570 mph (920 km/h),Transportation Travel
**How many cars are produced worldwide annually?**,68 million vehicles (2023),Transportation Travel
**What is the length of the Panama Canal?**,51 miles (82 km),Transportation Travel
**How many daily riders does the New York City Subway have?**,3.5 million daily riders (2023 average),Transportation Travel
**What is the maximum speed of the Shanghai Maglev train?**,268 mph (431 km/h),Transportation Travel
**How many miles of paved roads exist in the United States?**,2.7 million miles (4.3 million km),Transportation Travel
**What is the fuel capacity of a fully loaded Airbus A380?**,"84,600 gallons (320,000 liters)",Transportation Travel
**How many people travel through London Heathrow Airport daily?**,"220,000 passengers daily (2023 average)",Transportation Travel
**What is the length of the Trans-Siberian Railway?**,"5,772 miles (9,289 km)",Transportation Travel
**How many bicycles are in Amsterdam?**,"880,000 bicycles",Transportation Travel
**What is the average cost of a first-class ticket from New York to London?**,"$6,500 USD (average 2023)",Transportation Travel
**How many containers can the largest container ship carry?**,"24,000 TEU (Twenty-foot Equivalent Units)",Transportation Travel
**What is the depth of the English Channel at its deepest point?**,560 feet (170 meters),Transportation Travel
**How many taxis operate in Tokyo?**,"52,000 licensed taxis",Transportation Travel
**What is the length of the Golden Gate Bridge?**,"8,980 feet (2,737 meters) total length",Transportation Travel
**How many miles does the average American drive annually?**,"13,500 miles (21,700 km)",Transportation Travel
**What is the maximum speed of a Formula 1 car?**,231 mph (372 km/h),Transportation Travel
**How many cruise ships are operating worldwide?**,323 ocean-going cruise ships (2023),Transportation Travel
**What is the length of the Channel Tunnel (Chunnel)?**,31.4 miles (50.5 km),Transportation Travel
**How many flights take off from Atlanta's Hartsfield-Jackson daily?**,"2,700 flights daily (2023 average)",Transportation Travel
**What is the fuel efficiency of a Toyota Prius (average)?**,57 MPG combined (2023 model),Transportation Travel
**How many people work for Uber worldwide?**,"32,000 employees (2023)",Transportation Travel
**What is the circumference of Earth at the equator?**,"24,901 miles (40,075 km)",Transportation Travel
By how many degrees Celsius has the global average surface temperature risen since pre-industrial times (approximate)?,1.1 °C,Weather Climate
What was the approximate atmospheric CO2 concentration in parts per million (ppm) in 2023?,419 ppm,Weather Climate
By approximately how many centimeters has global mean sea level risen since 1900?,21 cm,Weather Climate
What was the world's total CO2 emissions from fossil fuels and industry in gigatonnes of CO2 in 2022 (approximate)?,36.6 GtCO2,Weather Climate
What percentage of Earth's surface is covered by oceans?,71% of Earth's surface,Weather Climate
What is the record highest surface wind gust recorded on Earth (km/h)?,408 km/h,Weather Climate
What is the magnitude of the largest earthquake ever recorded?,"Magnitude 9.5 (1960 Valdivia earthquake, Chile)",Weather Climate
What is the approximate global average annual precipitation in millimeters?,990 mm per year,Weather Climate
"On average, how many named tropical cyclones form worldwide each year?",About 90 tropical cyclones per year,Weather Climate
What percentage of Earth's freshwater is locked in glaciers and ice caps (approximate)?,~68.7% of freshwater,Weather Climate
