Name,Description,Category
Karachi,thing | object | item | word,Pakistan, Sindh, Punjab,Pakistani Cities
Dresser,thing | object | item | word,wood, sit, home,Furniture
Mirror,thing | object | item | word,wood, sit, home,Furniture
Lamp,thing | object | item | word,wood, sit, home,Furniture
Rug,thing | object | item | word,wood, sit, home,Furniture
Carpet,thing | object | item | word,wood, sit, home,Furniture
Curtain,thing | object | item | word,wood, sit, home,Furniture
Mattress,thing | object | item | word,wood, sit, home,Furniture
Pillow,thing | object | item | word,wood, sit, home,Furniture
Cushion,thing | object | item | word,wood, sit, home,Furniture
Blanket,thing | object | item | word,wood, sit, home,Furniture
Sheet,thing | object | item | word,wood, sit, home,Furniture
Cot,thing | object | item | word,wood, sit, home,Furniture
Cradle,thing | object | item | word,wood, sit, home,Furniture
Recliner,thing | object | item | word,wood, sit, home,Furniture
Spoon,thing | object | item | word,cook, metal, utensil,Kitchen Items
Fork,thing | object | item | word,cook, metal, utensil,Kitchen Items
Knife,thing | object | item | word,cook, metal, utensil,Kitchen Items
Plate,thing | object | item | word,cook, metal, utensil,Kitchen Items
Bowl,thing | object | item | word,cook, metal, utensil,Kitchen Items
Glass,thing | object | item | word,cook, metal, utensil,Kitchen Items
Cup,thing | object | item | word,cook, metal, utensil,Kitchen Items
Mug,thing | object | item | word,cook, metal, utensil,Kitchen Items
Jug,thing | object | item | word,cook, metal, utensil,Kitchen Items
Teapot,thing | object | item | word,cook, metal, utensil,Kitchen Items
Pan,thing | object | item | word,cook, metal, utensil,Kitchen Items
Pot,thing | object | item | word,cook, metal, utensil,Kitchen Items
Cooker,thing | object | item | word,metal, utensil, similar,Kitchen Items
Tawa,thing | object | item | word,cook, metal, utensil,Kitchen Items
Rolling Pin,Rolling | thing | object | item,kitchen, cook, metal,Kitchen Items
Grater,thing | object | item | word,cook, metal, utensil,Kitchen Items
Peeler,thing | object | item | word,cook, metal, utensil,Kitchen Items
Strainer,thing | object | item | word,cook, metal, utensil,Kitchen Items
Sieve,thing | object | item | word,cook, metal, utensil,Kitchen Items
Tongs,thing | object | item | word,cook, metal, utensil,Kitchen Items
Ladle,thing | object | item | word,cook, metal, utensil,Kitchen Items
Tray,thing | object | item | word,cook, metal, utensil,Kitchen Items
Bottle,thing | object | item | word,cook, metal, utensil,Kitchen Items
Jar,thing | object | item | word,cook, metal, utensil,Kitchen Items
Container,thing | object | item | word,cook, metal, utensil,Kitchen Items
Lion,thing | object | item | word,wild, mammal, zoo,Animals
Tiger,thing | object | item | word,wild, mammal, zoo,Animals
Elephant,thing | object | item | word,wild, mammal, zoo,Animals
Horse,thing | object | item | word,wild, mammal, zoo,Animals
Dog,thing | object | item | word,wild, mammal, zoo,Animals
Cat,thing | object | item | word,wild, mammal, zoo,Animals
Cow,thing | object | item | word,wild, mammal, zoo,Animals
Buffalo,thing | object | item | word,wild, mammal, zoo,Animals
Goat,thing | object | item | word,wild, mammal, zoo,Animals
Sheep,thing | object | item | word,wild, mammal, zoo,Animals
Camel,thing | object | item | word,wild, mammal, zoo,Animals
Donkey,thing | object | item | word,wild, mammal, zoo,Animals
Monkey,thing | object | item | word,wild, mammal, zoo,Animals
Bear,thing | object | item | word,wild, mammal, zoo,Animals
Deer,thing | object | item | word,wild, mammal, zoo,Animals
Rabbit,thing | object | item | word,wild, mammal, zoo,Animals
Fox,thing | object | item | word,wild, mammal, zoo,Animals
Wolf,thing | object | item | word,wild, mammal, zoo,Animals
Snake,thing | object | item | word,wild, mammal, zoo,Animals
Crocodile,thing | object | item | word,wild, mammal, zoo,Animals
Turtle,thing | object | item | word,wild, mammal, zoo,Animals
Frog,thing | object | item | word,wild, mammal, zoo,Animals
Mouse,thing | object | item | word,wild, mammal, zoo,Animals
Rat,thing | object | item | word,wild, mammal, zoo,Animals
Squirrel,thing | object | item | word,wild, mammal, zoo,Animals
Eagle,thing | object | item | word,fly, feather, nest,Birds
Sparrow,thing | object | item | word,fly, feather, nest,Birds
Pigeon,thing | object | item | word,fly, feather, nest,Birds
Parrot,thing | object | item | word,fly, feather, nest,Birds
Crow,thing | object | item | word,fly, feather, nest,Birds
Peacock,thing | object | item | word,fly, feather, nest,Birds
Hen,thing | object | item | word,fly, feather, nest,Birds
Rooster,thing | object | item | word,fly, feather, nest,Birds
Duck,thing | object | item | word,fly, feather, nest,Birds
Swan,thing | object | item | word,fly, feather, nest,Birds
Owl,thing | object | item | word,fly, feather, nest,Birds
Hawk,thing | object | item | word,fly, feather, nest,Birds
Kite,thing | object | item | word,fly, feather, nest,Birds
Vulture,thing | object | item | word,fly, feather, nest,Birds
Ostrich,thing | object | item | word,fly, feather, nest,Birds
Penguin,thing | object | item | word,fly, feather, nest,Birds
Flamingo,thing | object | item | word,fly, feather, nest,Birds
Woodpecker,thing | object | item | word,fly, feather, nest,Birds
Kingfisher,thing | object | item | word,fly, feather, nest,Birds
Cuckoo,thing | object | item | word,fly, feather, nest,Birds
Dove,thing | object | item | word,fly, feather, nest,Birds
Myna,thing | object | item | word,fly, feather, nest,Birds
Bulbul,thing | object | item | word,fly, feather, nest,Birds
Chakor,thing | object | item | word,fly, feather, nest,Birds
Partridge,thing | object | item | word,fly, feather, nest,Birds
Cricket,thing | object | item | word,game, ball, player,Sports
Hockey,thing | object | item | word,game, ball, player,Sports
Football,thing | object | item | word,game, player, similar,Sports
Tennis,thing | object | item | word,game, ball, player,Sports
Squash,thing | object | item | word,game, ball, player,Sports
Badminton,thing | object | item | word,game, ball, player,Sports
Boxing,thing | object | item | word,game, ball, player,Sports
Wrestling,thing | object | item | word,game, ball, player,Sports
Kabaddi,thing | object | item | word,game, ball, player,Sports
Polo,thing | object | item | word,game, ball, player,Sports
Golf,thing | object | item | word,game, ball, player,Sports
Swimming,thing | object | item | word,game, ball, player,Sports
Running,thing | object | item | word,game, ball, player,Sports
Cycling,thing | object | item | word,game, ball, player,Sports
Volleyball,thing | object | item | word,game, player, similar,Sports
Basketball,thing | object | item | word,game, player, similar,Sports
Snooker,thing | object | item | word,game, ball, player,Sports
Table Tennis,Table | thing | object | item,sport, game, ball,Sports
Archery,thing | object | item | word,game, ball, player,Sports
Shooting,thing | object | item | word,game, ball, player,Sports
Skiing,thing | object | item | word,game, ball, player,Sports
Skating,thing | object | item | word,game, ball, player,Sports
Karate,thing | object | item | word,game, ball, player,Sports
Judo,thing | object | item | word,game, ball, player,Sports
Gymnastics,thing | object | item | word,game, ball, player,Sports
Badshahi Mosque,Badshahi | thing | object | item,historic, old, monument,Historical Places
Minar-e-Pakistan,Minar | thing | object | item,historic, old, monument,Historical Places
Faisal Mosque,Faisal | thing | object | item,historic, old, monument,Historical Places
Lahore Fort,Lahore | thing | object | item,historic, old, monument,Historical Places
Shalimar Gardens,Shalimar | thing | object | item,historic, old, monument,Historical Places
Rohtas Fort,Rohtas | thing | object | item,historic, old, monument,Historical Places
Mohenjo-daro,Mohenjo | thing | object | item,historic, old, monument,Historical Places
Harappa,thing | object | item | word,old, monument, ancient,Historical Places
Taxila,thing | object | item | word,old, monument, ancient,Historical Places
Hiran Minar,Hiran | thing | object | item,historic, old, monument,Historical Places
Katas Raj,Katas | thing | object | item,historic, old, monument,Historical Places
Derawar Fort,Derawar | thing | object | item,historic, old, monument,Historical Places
Ranikot Fort,Ranikot | thing | object | item,historic, old, monument,Historical Places
Baltit Fort,Baltit | thing | object | item,historic, old, monument,Historical Places
Altit Fort,Altit | thing | object | item,historic, old, monument,Historical Places
Noor Mahal,Noor | thing | object | item,historic, old, monument,Historical Places
Wazir Khan Mosque,Wazir | thing | object | item,historic, old, monument,Historical Places
Tomb of Jahangir,Tomb | thing | object | item,historic, old, monument,Historical Places
Tomb of Jinnah,Tomb | thing | object | item,historic, old, monument,Historical Places
Ziarat Residency,Ziarat | thing | object | item,historic, old, monument,Historical Places
Khyber Pass,Khyber | thing | object | item,historic, old, monument,Historical Places
Clifton Fort,Clifton | thing | object | item,historic, old, monument,Historical Places
Frere Hall,Frere | thing | object | item,historic, old, monument,Historical Places
Mohatta Palace,Mohatta | thing | object | item,historic, old, monument,Historical Places
Shahi Qila,Shahi | thing | object | item,historic, old, monument,Historical Places
Doctor,thing | object | item | word,work, professional, career,Occupations
Engineer,thing | object | item | word,work, professional, career,Occupations
Teacher,thing | object | item | word,work, professional, career,Occupations
Pilot,thing | object | item | word,work, professional, career,Occupations
Soldier,thing | object | item | word,work, professional, career,Occupations
Police,thing | object | item | word,work, professional, career,Occupations
Lawyer,thing | object | item | word,work, professional, career,Occupations
Judge,thing | object | item | word,work, professional, career,Occupations
Chef,thing | object | item | word,work, professional, career,Occupations
Farmer,thing | object | item | word,work, professional, career,Occupations
Driver,thing | object | item | word,work, professional, career,Occupations
Tailor,thing | object | item | word,work, professional, career,Occupations
Barber,thing | object | item | word,work, professional, career,Occupations
Carpenter,thing | object | item | word,work, professional, career,Occupations
Plumber,thing | object | item | word,work, professional, career,Occupations
Electrician,thing | object | item | word,work, professional, career,Occupations
Mechanic,thing | object | item | word,work, professional, career,Occupations
Painter,thing | object | item | word,work, professional, career,Occupations
Writer,thing | object | item | word,work, professional, career,Occupations
Artist,thing | object | item | word,work, professional, career,Occupations
Singer,thing | object | item | word,work, professional, career,Occupations
Actor,thing | object | item | word,work, professional, career,Occupations
Banker,thing | object | item | word,work, professional, career,Occupations
Accountant,thing | object | item | word,work, professional, career,Occupations
Scientist,thing | object | item | word,work, professional, career,Occupations
Car,thing | object | item | word,ride, wheels, travel,Transport
Bus,thing | object | item | word,ride, wheels, travel,Transport
Truck,thing | object | item | word,ride, wheels, travel,Transport
Bike,thing | object | item | word,ride, wheels, travel,Transport
Cycle,thing | object | item | word,ride, wheels, travel,Transport
Rickshaw,thing | object | item | word,ride, wheels, travel,Transport
Chingchi,thing | object | item | word,ride, wheels, travel,Transport
Train,thing | object | item | word,ride, wheels, travel,Transport
Airplane,thing | object | item | word,ride, wheels, travel,Transport
Boat,thing | object | item | word,ride, wheels, travel,Transport
Ship,thing | object | item | word,ride, wheels, travel,Transport
Van,thing | object | item | word,ride, wheels, travel,Transport
Taxi,thing | object | item | word,ride, wheels, travel,Transport
Scooter,thing | object | item | word,ride, wheels, travel,Transport
Tractor,thing | object | item | word,ride, wheels, travel,Transport
Trolley,thing | object | item | word,ride, wheels, travel,Transport
Ambulance,thing | object | item | word,ride, wheels, travel,Transport
Fire Truck,Fire | thing | object | item,vehicle, ride, wheels,Transport
Police Car,Police | thing | object | item,vehicle, ride, wheels,Transport
Jeep,thing | object | item | word,ride, wheels, travel,Transport
Helicopter,thing | object | item | word,ride, wheels, travel,Transport
Rocket,thing | object | item | word,ride, wheels, travel,Transport
Metro Bus,Metro | thing | object | item,vehicle, ride, wheels,Transport
Orange Line,Orange | thing | object | item,vehicle, ride, wheels,Transport
Tongas,thing | object | item | word,ride, wheels, travel,Transport
Pen,thing | object | item | word,write, school, office,Stationery
Pencil,thing | object | item | word,write, school, office,Stationery
Eraser,thing | object | item | word,write, school, office,Stationery
Sharpener,thing | object | item | word,write, school, office,Stationery
Ruler,thing | object | item | word,write, school, office,Stationery
Notebook,thing | object | item | word,write, school, office,Stationery
Paper,thing | object | item | word,school, office, similar,Stationery
Glue,thing | object | item | word,write, school, office,Stationery
Scissors,thing | object | item | word,write, school, office,Stationery
Marker,thing | object | item | word,write, school, office,Stationery
Highlighter,thing | object | item | word,write, school, office,Stationery
Stapler,thing | object | item | word,write, school, office,Stationery
Pin,thing | object | item | word,write, school, office,Stationery
Clip,thing | object | item | word,write, school, office,Stationery
Tape,thing | object | item | word,write, school, office,Stationery
Calculator,thing | object | item | word,write, school, office,Stationery
Compass,thing | object | item | word,write, school, office,Stationery
Protractor,thing | object | item | word,write, school, office,Stationery
File,thing | object | item | word,write, school, office,Stationery
Folder,thing | object | item | word,write, school, office,Stationery
Envelope,thing | object | item | word,write, school, office,Stationery
Diary,thing | object | item | word,write, school, office,Stationery
Chart,thing | object | item | word,write, school, office,Stationery
Card,thing | object | item | word,write, school, office,Stationery
Ink,thing | object | item | word,write, school, office,Stationery
Red,thing | object | item | word,paint, bright, shade,Colors
Blue,thing | object | item | word,paint, bright, shade,Colors
Green,thing | object | item | word,paint, bright, shade,Colors
Yellow,thing | object | item | word,paint, bright, shade,Colors
Orange,thing | object | item | word,paint, bright, shade,Colors
Purple,thing | object | item | word,paint, bright, shade,Colors
Pink,thing | object | item | word,paint, bright, shade,Colors
Black,thing | object | item | word,paint, bright, shade,Colors
White,thing | object | item | word,paint, bright, shade,Colors
Grey,thing | object | item | word,paint, bright, shade,Colors
Brown,thing | object | item | word,paint, bright, shade,Colors
Maroon,thing | object | item | word,paint, bright, shade,Colors
Turquoise,thing | object | item | word,paint, bright, shade,Colors
Gold,thing | object | item | word,paint, bright, shade,Colors
Silver,thing | object | item | word,paint, bright, shade,Colors
Beige,thing | object | item | word,paint, bright, shade,Colors
Cream,thing | object | item | word,paint, bright, shade,Colors
Indigo,thing | object | item | word,paint, bright, shade,Colors
Violet,thing | object | item | word,paint, bright, shade,Colors
Magenta,thing | object | item | word,paint, bright, shade,Colors
Cyan,thing | object | item | word,paint, bright, shade,Colors
Teal,thing | object | item | word,paint, bright, shade,Colors
Olive,thing | object | item | word,paint, bright, shade,Colors
Navy,thing | object | item | word,paint, bright, shade,Colors
Peach,thing | object | item | word,paint, bright, shade,Colors
Head,thing | object | item | word,human, anatomy, organ,Body Parts
Eye,thing | object | item | word,human, anatomy, organ,Body Parts
Ear,thing | object | item | word,human, anatomy, organ,Body Parts
Nose,thing | object | item | word,human, anatomy, organ,Body Parts
Mouth,thing | object | item | word,human, anatomy, organ,Body Parts
Hand,thing | object | item | word,human, anatomy, organ,Body Parts
Foot,thing | object | item | word,human, anatomy, organ,Body Parts
Leg,thing | object | item | word,human, anatomy, organ,Body Parts
Arm,thing | object | item | word,human, anatomy, organ,Body Parts
Finger,thing | object | item | word,human, anatomy, organ,Body Parts
Thumb,thing | object | item | word,human, anatomy, organ,Body Parts
Knee,thing | object | item | word,human, anatomy, organ,Body Parts
Elbow,thing | object | item | word,human, anatomy, organ,Body Parts
Shoulder,thing | object | item | word,human, anatomy, organ,Body Parts
Neck,thing | object | item | word,human, anatomy, organ,Body Parts
Hair,thing | object | item | word,human, anatomy, organ,Body Parts
Tooth,thing | object | item | word,human, anatomy, organ,Body Parts
Tongue,thing | object | item | word,human, anatomy, organ,Body Parts
Lip,thing | object | item | word,human, anatomy, organ,Body Parts
Chin,thing | object | item | word,human, anatomy, organ,Body Parts
Cheek,thing | object | item | word,human, anatomy, organ,Body Parts
Forehead,thing | object | item | word,human, anatomy, organ,Body Parts
Stomach,thing | object | item | word,human, anatomy, organ,Body Parts
Back,thing | object | item | word,human, anatomy, organ,Body Parts
Chest,thing | object | item | word,human, anatomy, organ,Body Parts
Ring,thing | object | item | word,wear, shiny, precious,Jewelry
Necklace,thing | object | item | word,wear, shiny, precious,Jewelry
Bangle,thing | object | item | word,wear, shiny, precious,Jewelry
Earring,thing | object | item | word,wear, shiny, precious,Jewelry
Nose Pin,Nose | thing | object | item,gold, wear, shiny,Jewelry
Anklet,thing | object | item | word,wear, shiny, precious,Jewelry
Bracelet,thing | object | item | word,wear, shiny, precious,Jewelry
Chain,thing | object | item | word,wear, shiny, precious,Jewelry
Locket,thing | object | item | word,wear, shiny, precious,Jewelry
Tiara,thing | object | item | word,wear, shiny, precious,Jewelry
Crown,thing | object | item | word,wear, shiny, precious,Jewelry
Diamond,thing | object | item | word,wear, shiny, precious,Jewelry
Gold,thing | object | item | word,shiny, precious, similar,Jewelry
Silver,thing | object | item | word,wear, shiny, precious,Jewelry
Pearl,thing | object | item | word,wear, shiny, precious,Jewelry
Ruby,thing | object | item | word,wear, shiny, precious,Jewelry
Emerald,thing | object | item | word,wear, shiny, precious,Jewelry
Sapphire,thing | object | item | word,wear, shiny, precious,Jewelry
Choker,thing | object | item | word,wear, shiny, precious,Jewelry
Jhumka,thing | object | item | word,wear, shiny, precious,Jewelry
Matha Patti,Matha | thing | object | item,gold, wear, shiny,Jewelry
Brooch,thing | object | item | word,wear, shiny, precious,Jewelry
Pendant,thing | object | item | word,wear, shiny, precious,Jewelry
Stud,thing | object | item | word,wear, shiny, precious,Jewelry
Hoop,thing | object | item | word,wear, shiny, precious,Jewelry
Sun,thing | object | item | word,outdoor, earth, sky,Nature
Moon,thing | object | item | word,outdoor, earth, sky,Nature
Star,thing | object | item | word,outdoor, earth, sky,Nature
Sky,thing | object | item | word,outdoor, earth, similar,Nature
Cloud,thing | object | item | word,outdoor, earth, sky,Nature
Rain,thing | object | item | word,outdoor, earth, sky,Nature
Snow,thing | object | item | word,outdoor, earth, sky,Nature
Wind,thing | object | item | word,outdoor, earth, sky,Nature
Storm,thing | object | item | word,outdoor, earth, sky,Nature
River,thing | object | item | word,outdoor, earth, sky,Nature
Sea,thing | object | item | word,outdoor, earth, sky,Nature
Ocean,thing | object | item | word,outdoor, earth, sky,Nature
Lake,thing | object | item | word,outdoor, earth, sky,Nature
Pond,thing | object | item | word,outdoor, earth, sky,Nature
Mountain,thing | object | item | word,outdoor, earth, sky,Nature
Hill,thing | object | item | word,outdoor, earth, sky,Nature
Valley,thing | object | item | word,outdoor, earth, sky,Nature
Forest,thing | object | item | word,outdoor, earth, sky,Nature
Tree,thing | object | item | word,outdoor, earth, sky,Nature
Flower,thing | object | item | word,outdoor, earth, sky,Nature
Grass,thing | object | item | word,outdoor, earth, sky,Nature
Leaf,thing | object | item | word,outdoor, earth, sky,Nature
Sand,thing | object | item | word,outdoor, earth, sky,Nature
Rock,thing | object | item | word,outdoor, earth, sky,Nature
